Date,Open,High,Low,Close,Adj Close,Volume
2012-12-31,49.157154,50.052677,49.157154,49.982441,44.357422,2376800
2013-01-02,50.974541,51.404739,50.702370,51.264267,45.494987,3217500
2013-01-03,51.457420,51.650570,50.702370,51.466198,45.674198,2564400
2013-01-04,51.641792,52.054432,51.413521,51.922741,46.079369,2113300
2013-01-07,51.641792,51.878841,51.299385,51.720806,45.900158,1712800
2013-01-08,51.615452,52.080772,51.448639,52.019314,46.165066,1924300
2013-01-09,52.151009,52.168568,51.685688,51.887619,46.048195,2210400
2013-01-10,52.221245,52.230026,51.773487,52.080772,46.219604,2071300
2013-01-11,52.616329,52.677788,51.966637,52.168568,46.297520,1521700
2013-01-14,52.168568,52.282703,51.949078,52.159790,46.289734,2016500
2013-01-15,52.063213,52.071995,51.720806,51.922741,46.079369,2103600
2013-01-16,52.045654,52.115891,51.615452,51.650570,45.837822,1891700
2013-01-17,51.940300,52.107113,51.720806,51.949078,46.102745,1383900
2013-01-18,51.957859,52.440739,51.870060,52.431957,46.531269,2865300
2013-01-22,52.370499,52.651447,52.036873,52.642670,46.718266,2477800
2013-01-23,52.651447,52.651447,52.159790,52.291485,46.406616,2019100
2013-01-24,52.493416,52.651447,52.186127,52.423180,46.523479,2066400
2013-01-25,52.660229,52.677788,52.273926,52.581211,46.663731,1653800
2013-01-28,52.677788,52.677788,52.344162,52.361721,46.468941,1578300
2013-01-29,52.256367,52.976295,52.089554,52.914837,46.959801,2663200
2013-01-30,52.818260,52.897278,52.098331,52.212467,46.336487,2177700
2013-01-31,52.089554,52.475857,52.028095,52.054432,46.196236,2961700
2013-02-01,52.572433,53.309921,52.484634,53.248463,47.255886,2861200
2013-02-04,53.116768,53.336262,52.221245,52.282703,46.398804,3206800
2013-02-05,52.537312,53.775242,52.291485,53.757683,47.707802,3515100
2013-02-06,53.529411,53.731342,52.844601,53.353821,47.349388,2229200
2013-02-07,53.230904,53.327480,52.528534,53.116768,47.139011,2389500
2013-02-08,53.301140,53.555752,53.125549,53.494293,47.474052,2065200
2013-02-11,53.371380,53.538193,52.923618,52.976295,47.014343,1556300
2013-02-12,52.888500,53.178226,52.677788,52.993855,47.029934,1528900
