Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,325.274994,328.000000,324.500000,324.750000,322.655365,62578
2013-01-02,327.475006,332.325012,326.149994,328.274994,326.157623,229746
2013-01-03,328.000000,331.549988,326.500000,327.575012,325.462158,82580
2013-01-04,327.774994,327.825012,323.475006,324.899994,322.804413,96568
2013-01-07,326.500000,326.924988,323.000000,324.450012,322.357330,103656
2013-01-08,324.450012,326.774994,321.399994,326.024994,323.922119,98042
2013-01-09,325.500000,327.875000,323.250000,324.274994,322.183441,41224
2013-01-10,325.024994,330.700012,324.825012,326.600006,324.493439,100948
2013-01-11,327.950012,328.575012,314.049988,315.200012,313.166962,94150
2013-01-14,317.000000,317.000000,311.549988,314.424988,312.396942,79462
2013-01-15,315.000000,317.799988,309.375000,314.899994,312.868927,195710
2013-01-16,315.075012,316.575012,311.000000,312.049988,310.037262,50476
2013-01-17,312.500000,314.899994,310.500000,314.125000,312.098907,63606
2013-01-18,313.600006,315.000000,309.750000,313.575012,311.552460,510234
2013-01-21,314.950012,317.250000,313.000000,314.524994,312.496338,80196
2013-01-22,315.799988,323.500000,314.600006,320.274994,318.209259,1554986
2013-01-23,322.250000,327.500000,319.100006,322.000000,319.923096,176336
2013-01-24,322.000000,327.399994,320.600006,326.200012,324.096008,92756
2013-01-25,326.500000,333.500000,325.875000,332.424988,330.280853,132574
2013-01-28,335.500000,336.500000,331.299988,334.000000,331.845734,674774
2013-01-29,334.000000,339.399994,331.250000,336.250000,334.081177,160716
2013-01-30,336.149994,341.500000,335.000000,338.174988,335.993774,86754
2013-01-31,338.850006,341.549988,337.850006,338.975006,336.788635,47168
2013-02-01,339.975006,342.399994,333.799988,336.125000,333.957031,747196
2013-02-04,335.575012,340.149994,332.075012,337.024994,334.851227,59718
2013-02-05,334.000000,339.975006,332.000000,339.075012,336.888000,35546
2013-02-06,339.475006,347.000000,339.475006,346.325012,344.091248,193588
2013-02-07,343.500000,347.200012,342.500000,343.575012,341.358978,59812
2013-02-08,342.950012,344.000000,337.625000,339.500000,337.310242,39762
2013-02-11,339.149994,339.799988,334.174988,335.799988,333.634125,50274
2013-02-12,337.225006,337.225006,334.500000,335.549988,333.385712,37036
2013-02-13,335.000000,338.950012,332.750000,333.625000,331.473114,53398
2013-02-14,333.500000,336.000000,330.600006,333.524994,331.373779,27538
2013-02-15,333.475006,336.500000,331.774994,335.024994,332.864075,27650
2013-02-18,335.049988,335.975006,331.399994,332.375000,330.231171,31942
2013-02-19,333.174988,338.000000,333.174988,336.850006,334.677338,18976
2013-02-20,338.000000,339.524994,333.450012,334.049988,331.895386,63582
2013-02-21,333.500000,333.924988,329.049988,330.049988,327.921173,41366
2013-02-22,331.000000,334.750000,329.000000,332.375000,330.231171,25754
